headerdatestamp|headeridentifier|headersetSpec|metadata.mods.genre#text|metadata.mods.genre@authority|metadata.mods.identifier#text|metadata.mods.identifier@type|metadata.mods.location.url.0#text|metadata.mods.location.url.0@access|metadata.mods.location.url.0@usage|metadata.mods.location.url.1#text|metadata.mods.location.url.1@access|metadata.mods.name.role.roleTerm#text|metadata.mods.name.role.roleTerm@type|metadata.mods.namenamePart|metadata.mods.note.0|metadata.mods.note.1#text|metadata.mods.note.1@displayLabel|metadata.mods.originInfo.0publisher|metadata.mods.originInfo.1dateOther|metadata.mods.physicalDescriptioninternetMediaType|metadata.mods.relatedItem.0.titleInfotitle|metadata.mods.relatedItem.0@type|metadata.mods.relatedItem.1.titleInfotitle|metadata.mods.subject.0topic|metadata.mods.subject.1geographic|metadata.mods.subject.1topic|metadata.mods.subject.2geographic|metadata.mods.subject.2topic|metadata.mods.subject.3geographic|metadata.mods.subject.3topic|metadata.mods.subject.4geographic|metadata.mods.subject.4topic|metadata.mods.subject.5geographic|metadata.mods.subject.5topic|metadata.mods.subject.6geographic|metadata.mods.subject.6topic|metadata.mods.subject.7geographic|metadata.mods.subject.7topic|metadata.mods.subject.8geographic|metadata.mods.subject.8topic|metadata.mods.subject.9geographic|metadata.mods.subject.9topic|metadata.mods.subjecttopic|metadata.mods.titleInfotitle|metadata.mods@version|metadata.mods@xmlns|metadata.mods@xmlns:xlink|metadata.mods@xmlns:xsi|metadata.mods@xsi:schemaLocation|metadata.modsaccessCondition|metadata.modstypeOfResource
2019-11-19T04:01:56Z|webster_1282|webster|image|dct|0012_002333_000516_0001|local|https://digital.lib.utk.edu/collections/islandora/object/webster%3A1282|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/webster%3A1282/datastream/TN/view|preview|creator|text|Herbert M. Webster|#266: Cliff Top from trail (snow)|This object was added to the Digital Preservation Network in November 2016.|dpn|The University of Tennessee Libraries, Knoxville|1936 June 7|image/jpeg|The University of Tennessee Libraries, Special Collections Library.|original|The University of Tennessee Libraries, Special Collections, Herbert M. Webster Photographs Collection (1926-1955) MS.3338.|Alum Cave Trail|    |Pulpit|    |Cliff Top|Alum Cave Trail|    |Pulpit|    |Cliff Top|    |    |    |    |    |    |    |    |    |    |Cliff Top from trail (snow)|3.2|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-2.xsd|The copyright interests in this collection remain with the creator. For more information, contact Special Collections at special@utk.edu.|still image
2019-11-19T04:01:56Z|webster_1175|webster|image|dct|0012_002333_000395_0001|local|https://digital.lib.utk.edu/collections/islandora/object/webster%3A1175|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/webster%3A1175/datastream/TN/view|preview|creator|text|Herbert M. Webster|#172: Ramsey Cascades|This object was added to the Digital Preservation Network in November 2016.|dpn|The University of Tennessee Libraries, Knoxville|undated|image/jpeg|The University of Tennessee Libraries, Special Collections Library.|original|The University of Tennessee Libraries, Special Collections, Herbert M. Webster Photographs Collection (1926-1955) MS.3338.|Waterfalls|    |Ramsey Prong|Ramsey Prong|    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |Ramsey Cascades|3.2|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-2.xsd|The copyright interests in this collection remain with the creator. For more information, contact Special Collections at special@utk.edu.|still image
2019-11-19T04:01:56Z|webster_1428|webster|image|dct|0012_002333_000670_0001|local|https://digital.lib.utk.edu/collections/islandora/object/webster%3A1428|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/webster%3A1428/datastream/TN/view|preview|creator|text|Herbert M. Webster|#406: School House. Little Greenbrier. Note that only 5 logs were required to bring wall to proper height|This object was added to the Digital Preservation Network in November 2016.|dpn|The University of Tennessee Libraries, Knoxville|1955 February|image/jpeg|The University of Tennessee Libraries, Special Collections Library.|original|The University of Tennessee Libraries, Special Collections, Herbert M. Webster Photographs Collection (1926-1955) MS.3338.|Little Greenbrier Schoolhouse and Church|    |Metcalf Bottoms Trail|Metcalf Bottoms Trail|    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |School House. Little Greenbrier. Note that only 5 logs were required to bring wall to proper height|3.2|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-2.xsd|The copyright interests in this collection remain with the creator. For more information, contact Special Collections at special@utk.edu.|still image
2019-11-19T04:01:56Z|webster_1336|webster|image|dct|0012_002333_000572_0001|local|https://digital.lib.utk.edu/collections/islandora/object/webster%3A1336|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/webster%3A1336/datastream/TN/view|preview|creator|text|Herbert M. Webster|#316: Strattons Bald|This object was added to the Digital Preservation Network in November 2016.|dpn|The University of Tennessee Libraries, Knoxville|undated|image/jpeg|The University of Tennessee Libraries, Special Collections Library.|original|The University of Tennessee Libraries, Special Collections, Herbert M. Webster Photographs Collection (1926-1955) MS.3338.|Grassy balds|    |Stratton Bald|Stratton Bald|    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |Strattons Bald|3.2|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-2.xsd|The copyright interests in this collection remain with the creator. For more information, contact Special Collections at special@utk.edu.|still image
2019-11-19T04:01:56Z|webster_1490|webster|image|dct|0012_002333_000746_0001|local|https://digital.lib.utk.edu/collections/islandora/object/webster%3A1490|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/webster%3A1490/datastream/TN/view|preview|creator|text|Herbert M. Webster|#463: Citico Creek Crossing. At right, Charlie D. & Prof Duncan give assist to Harriett Foulkes, center, Sonny Morris looks on, as Hugh Hoss gives a hand to Mildred W[ebster], L[eft], & Mildred T., [Right]|This object was added to the Digital Preservation Network in November 2016.|dpn|The University of Tennessee Libraries, Knoxville|undated|image/jpeg|The University of Tennessee Libraries, Special Collections Library.|original|The University of Tennessee Libraries, Special Collections, Herbert M. Webster Photographs Collection (1926-1955) MS.3338.|Hiking|    |Citico Creek|    |Charlie DuBoise|    |Tom Duncan|    |Harriett Foulkes|    |Sonny Morris|    |Hugh Hoss|    |Mildred Webster|Citico Creek|    |    |    |    |Citico Creek Crossing. At right, Charlie D. & Prof Duncan give assist to Harriett Foulkes, center, Sonny Morris looks on, as Hugh Hoss gives a hand to Mildred W[ebster], L[eft], & Mildred T., [Right]|3.2|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-2.xsd|The copyright interests in this collection remain with the creator. For more information, contact Special Collections at special@utk.edu.|still image
2019-11-19T04:01:56Z|webster_1487|webster|image|dct|0012_002333_000743_0001|local|https://digital.lib.utk.edu/collections/islandora/object/webster%3A1487|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/webster%3A1487/datastream/TN/view|preview|creator|text|Herbert M. Webster|#460: House Mtn. [with] Mildred W[ebster], Sammy Downey, [and] Tom Brightwell|This object was added to the Digital Preservation Network in November 2016.|dpn|The University of Tennessee Libraries, Knoxville|undated|image/jpeg|The University of Tennessee Libraries, Special Collections Library.|original|The University of Tennessee Libraries, Special Collections, Herbert M. Webster Photographs Collection (1926-1955) MS.3338.|House Mountain|    |Mildred Webster|    |Sammy Downey|    |Tom Brightwell|House Mountain|    |    |    |    |    |    |    |    |    |    |    |    |House Mtn. [with] Mildred W[ebster], Sammy Downey, [and] Tom Brightwell|3.2|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-2.xsd|The copyright interests in this collection remain with the creator. For more information, contact Special Collections at special@utk.edu.|still image
2019-11-19T04:01:56Z|webster_1511|webster|image|dct|0012_002333_000772_0001|local|https://digital.lib.utk.edu/collections/islandora/object/webster%3A1511|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/webster%3A1511/datastream/TN/view|preview|creator|text|Herbert M. Webster|#476: Mountain home near Cosby|This object was added to the Digital Preservation Network in November 2016.|dpn|The University of Tennessee Libraries, Knoxville|undated|image/jpeg|The University of Tennessee Libraries, Special Collections Library.|original|The University of Tennessee Libraries, Special Collections, Herbert M. Webster Photographs Collection (1926-1955) MS.3338.|Cabins|    |Structures|    |Cosby|Cosby|    |    |    |    |    |    |    |    |    |    |    |    |    |    |Mountain home near Cosby|3.2|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-2.xsd|The copyright interests in this collection remain with the creator. For more information, contact Special Collections at special@utk.edu.|still image
2019-11-19T04:01:56Z|webster_1287|webster|image|dct|0012_002333_000522_0001|local|https://digital.lib.utk.edu/collections/islandora/object/webster%3A1287|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/webster%3A1287/datastream/TN/view|preview|creator|text|Herbert M. Webster|#270(2): Cades Cove from Rich Mtn.|This object was added to the Digital Preservation Network in November 2016.|dpn|The University of Tennessee Libraries, Knoxville|1936 August 23|image/jpeg|The University of Tennessee Libraries, Special Collections Library.|original|The University of Tennessee Libraries, Special Collections, Herbert M. Webster Photographs Collection (1926-1955) MS.3338.|Cades Cove|    |Rich Mountain|Cades Cove|    |Rich Mountain|    |    |    |    |    |    |    |    |    |    |    |    |    |    |Cades Cove from Rich Mtn.|3.2|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-2.xsd|The copyright interests in this collection remain with the creator. For more information, contact Special Collections at special@utk.edu.|still image
2019-11-19T04:01:56Z|webster_1213|webster|image|dct|0012_002333_000438_0001|local|https://digital.lib.utk.edu/collections/islandora/object/webster%3A1213|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/webster%3A1213/datastream/TN/view|preview|creator|text|Herbert M. Webster|#209: L-R. Clyde Kitts, Maurice Webster, Virgie Boruff & Herb under Rainbow Falls (John Donaldson apparently made picture)|This object was added to the Digital Preservation Network in November 2016.|dpn|The University of Tennessee Libraries, Knoxville|undated|image/jpeg|The University of Tennessee Libraries, Special Collections Library.|original|The University of Tennessee Libraries, Special Collections, Herbert M. Webster Photographs Collection (1926-1955) MS.3338.|Waterfalls|    |Rainbow Falls|    |Le Conte Creek|    |Clyde Kitts|    |Maurice Webster|    |Virgie Boruff|    |Herbert Webster|    |John Donaldson|Rainbow Falls|    |Le Conte Creek|    |    |L-R. Clyde Kitts, Maurice Webster, Virgie Boruff & Herb under Rainbow Falls (John Donaldson apparently made picture)|3.2|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-2.xsd|The copyright interests in this collection remain with the creator. For more information, contact Special Collections at special@utk.edu.|still image
2019-11-19T04:01:56Z|webster_1353|webster|image|dct|0012_002333_000589_0001|local|https://digital.lib.utk.edu/collections/islandora/object/webster%3A1353|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/webster%3A1353/datastream/TN/view|preview|creator|text|Herbert M. Webster|#333: Gibson Inn|This object was added to the Digital Preservation Network in November 2016.|dpn|The University of Tennessee Libraries, Knoxville|undated|image/jpeg|The University of Tennessee Libraries, Special Collections Library.|original|The University of Tennessee Libraries, Special Collections, Herbert M. Webster Photographs Collection (1926-1955) MS.3338.|Gibson Inn|    |Structures|    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |Gibson Inn|3.2|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-2.xsd|The copyright interests in this collection remain with the creator. For more information, contact Special Collections at special@utk.edu.|still image
2019-11-19T04:01:56Z|webster_1044|webster|image|dct|0012_002333_000225_0001|local|https://digital.lib.utk.edu/collections/islandora/object/webster%3A1044|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/webster%3A1044/datastream/TN/view|preview|creator|text|Herbert M. Webster|#23: Three Forks|This object was added to the Digital Preservation Network in November 2016.|dpn|The University of Tennessee Libraries, Knoxville|undated|image/jpeg|The University of Tennessee Libraries, Special Collections Library.|original|The University of Tennessee Libraries, Special Collections, Herbert M. Webster Photographs Collection (1926-1955) MS.3338.|Three Forks|Three Forks|    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |    |Three Forks|3.2|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-2.xsd|The copyright interests in this collection remain with the creator. For more information, contact Special Collections at special@utk.edu.|still image
2019-11-19T04:01:56Z|webster_1136|webster|image|dct|0012_002333_000349_0001|local|https://digital.lib.utk.edu/collections/islandora/object/webster%3A1136|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/webster%3A1136/datastream/TN/view|preview|creator|text|Herbert M. Webster|#134: Little fall on Ekaneekle Creek on return from Gregory|This object was added to the Digital Preservation Network in November 2016.|dpn|The University of Tennessee Libraries, Knoxville|1934 November 4|image/jpeg|The University of Tennessee Libraries, Special Collections Library.|original|The University of Tennessee Libraries, Special Collections, Herbert M. Webster Photographs Collection (1926-1955) MS.3338.|Waterfalls|    |Gregory Ridge Trail|    |Ekaneetlee Creek|Ekaneetlee Creek|    |    |    |    |    |    |    |    |    |    |    |    |    |    |Little fall on Ekaneekle Creek on return from Gregory|3.2|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-2.xsd|The copyright interests in this collection remain with the creator. For more information, contact Special Collections at special@utk.edu.|still image
2019-11-19T04:01:56Z|webster_1347|webster|image|dct|0012_002333_000583_0001|local|https://digital.lib.utk.edu/collections/islandora/object/webster%3A1347|object in context|primary display|https://digital.lib.utk.edu/collections/islandora/object/webster%3A1347/datastream/TN/view|preview|creator|text|Herbert M. Webster|#327: Hoai. Between Strattons Bald & Strawberry Knob|This object was added to the Digital Preservation Network in November 2016.|dpn|The University of Tennessee Libraries, Knoxville|undated|image/jpeg|The University of Tennessee Libraries, Special Collections Library.|original|The University of Tennessee Libraries, Special Collections, Herbert M. Webster Photographs Collection (1926-1955) MS.3338.|Grassy balds|    |Stratton Bald|    |Strawberry Knob|Stratton Bald|    |Strawberry Knob|    |    |    |    |    |    |    |    |    |    |    |    |Hoai. Between Strattons Bald & Strawberry Knob|3.2|http://www.loc.gov/mods/v3|http://www.w3.org/1999/xlink|http://www.w3.org/2001/XMLSchema-instance|http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-2.xsd|The copyright interests in this collection remain with the creator. For more information, contact Special Collections at special@utk.edu.|still image
